species_name,VN_name,big_category,"selection (em cứ thêm bên dưới, nó tự update)"
Loxodonta Africana,Voi đồng cỏ châu Phi ,Elephants,
Others ,Loài khác,Others,
Trachypithecus laotum,Voọc Hà Tĩnh,Primates,
Macaca leonia,Khỉ đuôi lợn,Primates,
Trachypithecus crespusculus,Voọc xám Đông Dương,Primates,
Selenarctos thibetanus,Gấu ngựa,Bears,
pagolin,Tê tê,Pangolins,
Elaphe radiata,Rắn rồng,Snakes,
orchid,Lan,Others,
Pygathrix nemaeous,Voọc Chà vá chân đỏ,Primates,
Manix pentadactyla,Tê tê,Pangolins,
Asiatic black bear,Gấu đen châu Á,Bears,
Asian golden cat,Báo lửa,Feliformia,
Paguma larvata,Cầy vòi mốc,Others,
green sa turtles,Đồi mồi dứa,Turtles,
big-head turtle,Rùa đầu to,Turtles,
rhino,Tê giác,Rhinos,
deer,Nai,Others,
Cervus unicolor,Nai đen,Others,
pagolins,Tê tê,Pangolins,
tiger cubs,,Feliformia,
langur,Vọoc,Primates,
black-shanked douc langurs,Voọc mông trắng,Primates,
Pathera tigris,Hổ Bengal,Feliformia,
turle,Rùa,Turtles,
meat,,Others,
Manis javanica,Tê tê Java,Pangolins,
Asian black bear,Gấu ngựa,Bears,
frozen tiger cub,,Feliformia,
Geochelone platynota, Rùa sao Myanmar ,Turtles,
Genchelone elegans,,Turtles,
Stigmochelys pardalis,Rùa báo,Turtles,
Cuora galbinifrons ,Rùa hộp trán vàng miền Bắc,Turtles,
Sacalia quadriocellata,Rùa bốn mắt,Turtles,
Cuora bourretu,Rùa hộp trán vàng miền Trung,Turtles,
Cuora galbanifrons,Rùa hộp trán vàng miền Bắc,Turtles,
Manouria impressa,Rùa núi viền,Turtles,
Naemorhedus sumatraensis,Sơn dương Đông Dương,Others,
stork,Cò,Birds,
Lophura nycthemera,Gà lôi trắng Trung Bộ,Birds,
